ces_industry,employment,growth
42448120,254.8,-74.215073
42448130,43.5,-90.574715
42448140,455.29999,-60.663296
42448150,49,-48.163265
42448190,115.2,-57.378471
42448200,195,-44.871796
42448300,125.7,-51.073986
42451000,549.79999,-37.66824
42451100,467.70001,-33.418861
42451110,276.29999,-33.767639
42451120,125.5,-41.593624
42451130,36.5,-26.301371
42451140,33,-26.666664
42451200,79.300003,-59.89912
42452000,3046.8,-6.1113281
42452200,1078.5,-25.637459
42452300,1968.3,4.5877175
42452311,1449.9,6.40734
42452319,521.20001,-.36454803
42453000,820.40002,-33.715263
42453100,56.900002,-52.372585
42453200,227.2,-39.348591
42453210,92.599998,-16.414684
42453220,135.2,-55.6213
42453300,180.39999,-56.042126
42453900,354.5,-15.035257
42453910,123.2,-8.6850624
42453920,15.3,-26.797388
42453990,216.60001,-18.144045
42454000,551.20001,-8.0551567
42454100,373.89999,-6.7130265
42454200,41.599998,-21.874996
42454300,136.39999,-7.6246295
42454310,70.699997,-1.5558678
42454390,65.699997,-11.719935
43000000,5678.1001,-9.9188137
43481000,511.20001,-15.199533
43481100,464.39999,-16.06374
43481200,46.700001,-6.4239826
43482000,159.89999,-2.8767924
43483000,64.900002,-9.0909109
43484000,1527.3,-6.1873894
43484100,1060,-5.4716983
43484110,274.60001,-7.4289908
43484120,785.20001,-4.7631207
43484121,528.70001,-3.9909222
43484122,256.60001,-6.3523002
43484200,469.70001,-8.068985
43484210,96,-15.312497
43484220,235.5,-7.3460736
43484230,138.7,-4.397975
43485000,508.20001,-37.209759
43485300,70.5,-49.21986
43485310,33,-31.818182
43485320,37.599998,-64.627655
43485400,212.2,-44.674835
43485500,108.9,-30.762167
43485900,117.7,-24.384026
43486000,50.5,0
43487000,36.700001,-64.57766
43488000,763.79999,-12.018851
43488100,238.2,-16.624681
43488110,113.6,-28.521128
43488300,100.2,-13.672652
43488320,68.599998,-17.055389
43488390,31.799999,-8.4905624
43488400,104.4,-10.440615
43488500,239.3,-7.2294202
43488900,81.199997,-12.561573
43492000,847.79999,.6841222
43492100,733.20001,.21821816
43492200,113.4,4.2328
43493000,1207.8,-6.7643709
43493110,1080.6,-6.7555065
43493120,66.400002,-3.9156661
43493190,60.099998,-8.9850216
44220000,546.09998,-.69584107
44221100,381.70001,-.39297876
44221110,144.10001,-.34698126
44221112,83,0
44221118,61.200001,-.81699347
44221120,237.8,-.33641845
44221121,25.1,0
44221122,212.7,-.42312831
44221200,110.9,-.090169951
44221300,53.400002,-5.056181
50000000,2894,-9.606082
50511000,770,-3.0259724
50511100,283.70001,-6.7324657
50511110,121.4,-7.1663957
50511120,79.400002,-7.1788468
50511130,56.799999,-4.9295764
50511190,25.9,-7.335906
50511200,486.29999,-.37013939
50512000,456.29999,-50.449265
50512110,246.10001,-43.193825
50512130,159.8,-84.29287
50515000,263.29999,-6.4944897
50515100,213,-7.6995277
50515110,80,-8.0000019
50515120,132.89999,-7.4492059
50515200,50.400002,-1.3888904
50517000,700.5,-.71377587
50517300,615.90002,-.82806242
50517311,510.10001,-.60772514
50517312,105,-1.3333348
50517900,85.099998,-1.1750882
50517911,46.5,1.9354872
50518000,349.60001,-1.7734588
50519000,354.39999,.95936626
50519130,287.60001,1.0083427
50519190,66.900002,-.74738413
55000000,8845,-3.188242
55520000,6486.3999,-.71071935
55521000,19.299999,2.072547
55522000,2680.5,-1.2311136
55522100,1788.1,-.73261988
55522110,1393.8,-.48070547
55522120,94.5,-.42328203
55522190,298.39999,-1.1394081
55522200,587.20001,-1.8562711
55522210,72,1.2500021
55522220,96,-4.0625014
55522290,418.60001,-1.8394678
55522291,104.4,-5.7471266
55522292,221,.72398466
55522298,93,-4.9462347
55522300,305.20001,-2.9488859
55522310,89,2.4719067
55522320,133.2,-6.1561542
55522390,83.199997,-1.8028847
55523000,968.79999,-.20644096
55523120,279.5,-.9660151
55523200,455.39999,-1.0540158
55523900,514.5,.058306664
55523910,29.700001,-1.6835016
55523920,218.2,-.27497289
55523930,203.60001,1.1787789
55523990,63,-1.26984
55524000,2817.8,-.4081198
55524100,1613.3,.055780221
55524110,932.29999,.26815403
55524113,349,.48710951
55524114,583.20001,.2057634
55524120,654.79999,-.42760962
55524126,559.70001,.50026584
55524128,94.800003,-4.219409
55524130,27.4,-.3649649
55524200,1204.3,-1.1541995
55524210,853.09998,-1.8989511
55524290,352.39999,-1.0215682
55524291,52.5,-2.2857158
55524292,209.10001,-1.9129603
55524298,90.400002,.8849507
55530000,2358.5,-9.9851599
55531000,1750,-6.2742887
55531100,622,-8.7620583
55531110,366,-4.9999967
55531120,156.60001,-17.816097
55531130,58.299999,-7.0325875
55531190,41.099998,-12.165451
55531200,371.39999,-5.869679
55531300,757.59998,-4.6858501
55531310,655.90002,-4.8025613
55531311,481.10001,-4.177927
55531312,174.39999,-6.3073397
55531320,34.200001,2.6315722
55531390,67.800003,-7.6696229
55532000,584.79999,-21.409025
55532100,228.7,-23.349363
55532110,136.5,-34.578751
55532120,92.5,-6.9189205
55532200,135.8,-23.711344
55532283,36.099998,-5.2631516
55532300,36.200001,-25.414366
55532400,180.10001,-14.880623
55532410,94.300003,-3.39343
55532490,86,-27.325581
55533000,23.700001,-2.1097045
60000000,21550,-10.593967
60540000,9707.5996,-5.6512384
60541100,1162.7,-5.8828506
60541110,1069.8,-5.7207022
60541190,93,-7.634407
60541200,1038,-6.3487501
60541211,500.60001,-4.7742696
60541213,86.900002,5.063293
60541214,188.2,-15.090326
60541219,268.20001,-8.612977
60541300,1539.8,-5.1695089
60541310,200,-5.4000015
60541320,36.200001,-14.640887
60541340,1034.4,-5.0560756
60541370,91.900002,-3.8084874
60541380,179.10001,-5.3601375
60541400,145.10001,-12.749832
60541410,48.799999,-10.040979
60541430,60.799999,-11.513158
60541500,2252.7,-3.635633
60541511,1005.7,-3.8480673
60541512,1055.2,-4.131916
60541513,75,-2.9333293
60541519,118.9,-3.2800686
60541600,1561.1,-5.3167639
60541610,1270.1,-5.7869458
60541611,663.70001,-3.827034
60541612,86.300003,-11.935113
60541613,279,-8.5663061
60541614,133.7,-6.1331315
60541618,107.9,-5.6533813
60541620,88.900002,-4.6119218
60541690,202,-2.0792065
60541700,749.5,-2.4816511
60541710,683.20001,-2.1077318
60541713,22.1,-4.5248866
60541714,219.2,.68430656
60541715,442.20001,-3.5052011
60541720,66.5,-6.7669172
60541800,492.60001,-8.668293
60541810,207.8,-4.6198297
60541820,61.400002,-.48860431
60541840,35.700001,-.5602262
60541850,33.700001,-10.682493
60541860,40.200001,-9.2039814
60541890,114.3,-21.69729
60541900,766.09998,-11.747814
60541910,94.5,-18.201056
60541920,42.900002,-38.927738
60541940,408.39999,-7.3702269
60541990,220.8,-12.409424
60550000,2447.3,-3.8205369
60551112,88,-6.25
60551114,2358.6001,-3.6886287
60560000,9395,-17.464607
60561000,8928,-18.196686
60561100,530.29999,-7.5051837
60561200,164.3,-6.6950698
60561300,3650.2,-27.617661
60561310,299.5,-20.166943
60561311,255.3,-22.09166
60561312,43.700001,-7.0938268
60561320,2939.8,-30.338799
60561330,411.70001,-13.480689
60561400,869.40002,-12.939959
60561410,48.400002,-28.925619
60561420,487.60001,-10.35685
60561421,33.5,-1.7910402
60561422,454,-10.947139
60561430,83,-16.26506
60561440,124.2,-15.136872
60561450,22.4,-3.124995
60561490,103.5,-13.140095
60561500,222.5,-21.483147
60561510,91.800003,-29.629633
60561520,29.9,-36.789299
60561590,99.199997,-7.3588667
60561600,970.20001,-8.2457228
60561610,816.5,-8.6711559
60561611,40.5,-7.6543174
60561613,776.20001,-8.7348604
60561620,152.7,-5.3700047
60561700,2178.8,-12.405913
60561710,131.89999,-3.5633035
60561720,1112.8,-16.696625
60561730,808.59998,-7.4449606
60561740,39.299999,-21.374044
60561790,90.400002,-15.70797
60561900,342.29999,-16.096985
60561910,64.300003,-5.9098024
60561920,69.599998,-38.505749
60561990,210.2,-12.559464
60562000,467,-3.4689534
60562100,195.8,-3.7282956
60562200,102.7,-1.7526733
60562211,38.099998,-3.1495984
60562219,64.300003,-.62208635
60562900,168.39999,-4.2161469
60562910,94.5,-2.1164021
60562990,74,-6.6216235
65000000,24586,-11.25844
65610000,3828.5,-13.193159
65611100,1130.2,-8.0959129
65611200,52.299999,-11.854686
65611300,1804.3,-8.6681824
65611400,81,-8.5185204
65611420,21,-14.285714
65611430,59.599998,-6.3758378
65611500,116.4,-22.852232
65611600,487,-39.158112
65611610,117.2,-26.450512
65611620,146.3,-48.940536
65611690,219,-35.47945
65611700,161.7,-14.780454
65620000,20757.699,-10.901978
65620001,16507.199,-9.5146341
65621000,7855.2002,-16.874172
65621100,2722.8999,-10.665096
65621111,2661,-10.710259
65621112,61.700001,-8.4278784
65621200,977,-55.506653
65621300,987.79999,-23.628262
65621310,141,-20.354609
65621320,140.89999,-46.202976
65621330,122.1,-8.1900082
65621340,429.60001,-21.298882
65621390,153.39999,-24.119944
65621391,33.5,-17.910448
65621399,120,-25.916666
65621400,980.20001,-8.6921043
65621420,258.39999,-4.7987595
65621490,720.09998,-9.8875093
65621491,208.89999,-1.6275702
65621492,132.10001,-.75700223
65621493,164,-27.256096
65621498,214.7,-9.5016279
65621500,289.60001,-10.911604
65621511,208.39999,-7.6295557
65621512,81.099998,-19.23551
65621600,1572.4,-7.1037951
65621900,325.29999,-9.4989223
65621910,178.89999,-7.1548285
65621990,145.89999,-12.20013
65621991,80.199997,-4.6134629
65621999,65.300003,-20.980099
65622000,5261,-2.3246493
65622100,4834,-2.1948717
65622200,149.10001,-6.841054
65622300,278.20001,-2.5521228
65623000,3391,-3.621352
65623100,1592.2,-3.2219524
65623200,653,-4.5329213
65623210,413.89999,-5.9193044
65623220,239.10001,-2.2166469
65623300,977.90002,-3.405261
65623311,512.5,-3.5902426
65623312,465.39999,-3.1155996
65623900,167.89999,-5.1220913
65624000,4250.5,-16.289846
65624100,2699.8999,-9.1114492
65624110,211,-10.758292
65624120,2041.3,-9.523344
65624190,445.89999,-5.9430366
65624200,186,-4.7849431
65624210,37.200001,-.53763646
65624230,148.7,-5.6489534
65624300,326,-20.582825
65624400,1038.6,-35.663391
70000000,16867,-49.101795
70710000,2472.3999,-53.296391
70711000,511.70001,-47.15654
70711100,133.2,-49.849846
70711130,34.799999,-45.402298
70711190,98.800003,-51.417007
70711200,145.3,-54.439095
70711211,98.699997,-49.341438
70711212,25.4,-95.275589
70711219,22.4,-35.714287
70711300,181.10001,-41.027058
70711500,51.5,-39.611649
70712000,175.2,-27.85388
70712110,103.1,-25.897184
70712190,71.599998,-30.446926
70713000,1785.5,-57.552505
70713100,227.39999,-30.606857
70713200,116.7,-51.413879
70713210,76.300003,-45.871563
70713290,40.799999,-61.029411
70713900,1434.4,-62.01199
70713910,369.20001,-44.230774
70713920,44.5,-68.53933
70713930,45.200001,-46.681416
70713940,665.20001,-65.408897
70713950,69.800003,-84.813751
70713990,251.3,-65.897339
70720000,14394.1,-48.383018
70721000,2091,-43.639408
70721100,2019.5,-44.723938
70721110,1700.6,-44.343174
70721120,277.10001,-47.203175
70721190,39.700001,-43.82872
70721191,15.7,-63.057323
70721199,24,-28.33333
70721200,72.699997,-19.394772
70721211,35.799999,-31.284914
70721214,36.5,-4.3835573
70722000,12303.1,-49.189228
70722300,746.40002,-52.036442
70722310,539,-46.493507
70722330,204.8,-65.478516
70722400,397.60001,-80.256538
70722500,11155.2,-47.922943
70722511,5633.8999,-66.399826
70722513,4604.6001,-23.289757
70722514,110.9,-87.556358
70722515,794.59998,-54.039764
80000000,5941,-22.942266
80811000,1378.6,-17.590309
80811100,967.20001,-20.016546
80811110,412.5,-13.333333
80811111,365.5,-13.077972
80811113,22.700001,-16.299562
80811118,24.6,-12.601627
80811120,284.89999,-16.426813
80811121,252.10001,-15.113052
80811122,33.200001,-28.313257
80811190,266.60001,-32.708179
80811192,177.10001,-39.186905
80811198,89.400002,-19.910517
80811200,106.1,-10.367578
80811212,37.900002,-13.720318
80811219,68.300003,-8.491951
80811300,228.60001,-11.504813
80811400,79.900002,-19.274094
80812000,1537.2,-55.119694
80812100,742.40002,-80.024246
80812110,569.40002,-83.29821
80812112,450.70001,-81.473267
80812113,120.3,-90.357437
80812190,172.8,-68.576393
80812200,137.5,-6.25455
80812210,107.8,-7.6994462
80812220,29.5,-2.372884
80812300,291.10001,-27.653727
80812310,36.5,-21.917809
80812320,119.3,-33.948029
80812330,135.5,-23.91144
80812331,67.099998,-32.488823
80812332,68.199997,-15.835772
