ces_industry,employment,growth
80811121,252.10001,
80811122,33.200001,
80811190,266.60001,
80811192,177.10001,
80811198,89.400002,
80811200,106.1,
80811212,37.900002,
80811219,68.300003,
80811300,228.60001,
80811400,79.900002,
80812000,1537.2,-43.260471
80812100,742.40002,
80812110,569.40002,
80812112,450.70001,
80812113,120.3,
80812190,172.8,
80812200,137.5,
80812210,107.8,
80812220,29.5,
80812300,291.10001,
80812310,36.5,
80812320,119.3,
80812330,135.5,
80812331,67.099998,
80812332,68.199997,
80812900,363.70001,
80812910,137,
80812930,142.5,
80812990,83.699997,
80813000,3025.6001,-8.6263876
80813200,186.2,
80813211,108.6,
80813212,39.299999,
80813219,37.599998,
80813300,241.2,
80813311,50.400002,
80813319,190.60001,
80813400,388.20001,
80813900,485.60001,
80813910,116.6,
80813920,88.599998,
80813930,113.6,
80813990,167.3,
90000000,22745,-6.8806329
90910000,2867,.20927799
90911000,2265.3,.22954801
90916220,359.79999,
90919110,553.40002,
90919120,601.59998,.083111703
90919999,1349.7,
90920000,5199,-5.5395269
90921611,2489.8999,-10.695201
90922000,2709.3,-.82678723
90922622,393.29999,
90922920,1830.3,
90922999,484.39999,
90930000,14679,-8.7403774
90931611,8042,-9.4404402
90932000,6636.7998,-7.8938632
90932221,248.10001,
90932480,290.20001,
90932622,694.79999,
90932920,4295.2002,
90932999,1105.8,
