Importance,Level,Code,Occupation
50,40,53-6021.00,Parking Lot Attendants
50,39,49-9071.00,"Maintenance and Repair Workers, General"
50,37,43-5081.01,"Stock Clerks, Sales Floor"
49,50,47-1011.03,Solar Energy Installation Managers
49,48,25-1053.00,"Environmental Science Teachers, Postsecondary"
49,47,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
49,43,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
49,43,25-1192.00,"Home Economics Teachers, Postsecondary"
49,43,53-1021.01,Recycling Coordinators
49,42,11-1021.00,General and Operations Managers
49,42,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
49,41,19-4031.00,Chemical Technicians
49,40,11-9131.00,Postmasters and Mail Superintendents
49,39,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
49,38,51-9194.00,Etchers and Engravers
49,38,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
49,36,19-4011.02,Food Science Technicians
49,35,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
49,35,39-5092.00,Manicurists and Pedicurists
49,33,25-4031.00,Library Technicians
49,30,51-3021.00,Butchers and Meat Cutters
49,30,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
48,48,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
48,48,53-5021.02,"Mates- Ship, Boat, and Barge"
48,46,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
48,46,47-4041.00,Hazardous Materials Removal Workers
48,44,53-7041.00,Hoist and Winch Operators
48,44,25-1022.00,"Mathematical Science Teachers, Postsecondary"
48,43,11-9111.00,Medical and Health Services Managers
48,41,13-1131.00,Fundraisers
48,38,47-2231.00,Solar Photovoltaic Installers
48,36,51-7021.00,Furniture Finishers
48,35,47-3013.00,Helpers--Electricians
48,35,47-2151.00,Pipelayers
47,50,11-3071.01,Transportation Managers
47,48,25-1064.00,"Geography Teachers, Postsecondary"
47,48,47-5071.00,"Roustabouts, Oil and Gas"
47,47,25-9021.00,Farm and Home Management Advisors
47,46,45-4011.00,Forest and Conservation Workers
