Importance,Level,Code,Occupation
80,63,17-3023.03,Electrical Engineering Technicians
80,63,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
80,63,19-4011.02,Food Science Technicians
80,63,29-2071.00,Medical Records and Health Information Technicians
80,62,13-2041.00,Credit Analysts
80,62,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
80,62,27-2041.01,Music Directors
80,61,51-6092.00,Fabric and Apparel Patternmakers
80,61,29-2034.00,Radiologic Technologists
80,60,39-9041.00,Residential Advisors
80,59,43-4051.00,Customer Service Representatives
80,59,45-1011.05,First-Line Supervisors of Logging Workers
80,59,13-1041.02,Licensing Examiners and Inspectors
80,59,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
80,59,47-2031.02,Rough Carpenters
80,55,25-2023.00,"Career/Technical Education Teachers, Middle School"
80,55,31-2021.00,Physical Therapist Assistants
80,55,47-2151.00,Pipelayers
80,52,43-4171.00,Receptionists and Information Clerks
80,51,39-3092.00,Costume Attendants
79,76,15-1143.00,Computer Network Architects
79,75,19-3091.02,Archeologists
79,75,25-1122.00,"Communications Teachers, Postsecondary"
79,72,17-2112.00,Industrial Engineers
79,72,17-2072.01,Radio Frequency Identification Device Specialists
79,71,11-3031.02,"Financial Managers, Branch or Department"
79,70,15-1199.12,Document Management Specialists
79,70,17-2121.01,Marine Engineers
79,70,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
79,70,27-2012.05,Technical Directors/Managers
79,69,15-1152.00,Computer Network Support Specialists
79,69,51-9123.00,"Painting, Coating, and Decorating Workers"
79,68,27-3041.00,Editors
79,68,17-3029.01,Non-Destructive Testing Specialists
79,68,17-2111.03,Product Safety Engineers
79,68,47-2022.00,Stonemasons
79,67,19-1032.00,Foresters
79,65,47-5012.00,"Rotary Drill Operators, Oil and Gas"
79,64,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
79,64,43-5011.01,Freight Forwarders
79,64,51-8012.00,Power Distributors and Dispatchers
79,64,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
79,64,15-1132.00,"Software Developers, Applications"
79,63,49-9092.00,Commercial Divers
79,63,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
79,63,23-1012.00,Judicial Law Clerks
79,63,17-2199.05,Mechatronics Engineers
79,62,29-2099.06,Radiologic Technicians
79,62,27-2023.00,"Umpires, Referees, and Other Sports Officials"
79,61,17-3027.01,Automotive Engineering Technicians
79,61,43-9011.00,Computer Operators
79,61,29-1069.03,Hospitalists
79,60,43-3071.00,Tellers
79,57,51-5111.00,Prepress Technicians and Workers
79,56,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
79,52,27-1026.00,Merchandise Displayers and Window Trimmers
78,77,15-1199.06,Database Architects
78,76,19-3091.01,Anthropologists
78,76,43-9111.01,Bioinformatics Technicians
78,75,19-1011.00,Animal Scientists
78,73,19-1020.01,Biologists
78,73,13-1041.06,Coroners
78,72,15-1131.00,Computer Programmers
78,71,45-4011.00,Forest and Conservation Workers
78,70,19-2021.00,Atmospheric and Space Scientists
78,70,29-9092.00,Genetic Counselors
78,70,17-2161.00,Nuclear Engineers
