Context,Code,Occupation
66,39-2021.00,Nonfarm Animal Caretakers
66,43-5081.04,"Order Fillers, Wholesale and Retail Sales"
66,19-3031.01,School Psychologists
66,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
65,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
65,29-1011.00,Chiropractors
65,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
65,23-2091.00,Court Reporters
65,19-2041.00,"Environmental Scientists and Specialists, Including Health"
65,47-2121.00,Glaziers
65,11-3051.06,Hydroelectric Production Managers
65,11-3051.00,Industrial Production Managers
65,25-9031.00,Instructional Coordinators
65,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
65,17-2051.01,Transportation Engineers
65,11-9121.02,Water Resource Specialists
64,11-9013.03,Aquacultural Managers
64,29-1125.01,Art Therapists
64,43-3021.02,"Billing, Cost, and Rate Clerks"
64,25-1042.00,"Biological Science Teachers, Postsecondary"
64,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
64,35-2011.00,"Cooks, Fast Food"
64,11-9039.01,Distance Learning Coordinators
64,17-2199.03,Energy Engineers
64,17-3025.00,Environmental Engineering Technicians
64,19-1041.00,Epidemiologists
64,11-3051.02,Geothermal Production Managers
64,15-1199.09,Information Technology Project Managers
64,13-2053.00,Insurance Underwriters
64,51-9071.01,Jewelers
64,13-1161.00,Market Research Analysts and Marketing Specialists
64,29-1125.02,Music Therapists
64,19-3039.01,Neuropsychologists and Clinical Neuropsychologists
64,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
64,25-1065.00,"Political Science Teachers, Postsecondary"
64,39-9032.00,Recreation Workers
64,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
64,13-1199.05,Sustainability Specialists
63,53-3022.00,"Bus Drivers, School or Special Client"
63,19-2041.01,Climate Change Analysts
63,15-1152.00,Computer Network Support Specialists
63,27-1012.00,Craft Artists
63,33-3021.06,Intelligence Analysts
63,29-1063.00,"Internists, General"
63,17-3027.00,Mechanical Engineering Technicians
63,17-2111.03,Product Safety Engineers
63,13-2099.02,Risk Management Specialists
63,41-3031.03,Securities and Commodities Traders
63,47-2044.00,Tile and Marble Setters
62,17-2141.02,Automotive Engineers
62,49-9051.00,Electrical Power-Line Installers and Repairers
62,13-1041.01,Environmental Compliance Inspectors
62,17-2121.02,Marine Architects
62,25-4013.00,Museum Technicians and Conservators
62,27-2012.01,Producers
62,19-1013.00,Soil and Plant Scientists
61,17-2011.00,Aerospace Engineers
61,17-1011.00,"Architects, Except Landscape and Naval"
61,49-3023.01,Automotive Master Mechanics
61,53-6011.00,Bridge and Lock Tenders
61,13-1051.00,Cost Estimators
61,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
61,49-3041.00,Farm Equipment Mechanics and Service Technicians
61,15-1199.05,Geographic Information Systems Technicians
61,15-1121.01,Informatics Nurse Specialists
61,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
61,39-9041.00,Residential Advisors
61,47-1011.03,Solar Energy Installation Managers
61,15-1143.01,Telecommunications Engineering Specialists
61,37-3013.00,Tree Trimmers and Pruners
61,53-7073.00,Wellhead Pumpers
60,17-2021.00,Agricultural Engineers
60,29-9091.00,Athletic Trainers
60,51-3011.00,Bakers
60,39-9011.00,Childcare Workers
60,25-1021.00,"Computer Science Teachers, Postsecondary"
60,25-1063.00,"Economics Teachers, Postsecondary"
60,17-3012.01,Electronic Drafters
60,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
60,13-1081.01,Logistics Engineers
60,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
60,17-3029.01,Non-Destructive Testing Specialists
60,31-1015.00,Orderlies
60,29-1124.00,Radiation Therapists
60,47-5071.00,"Roustabouts, Oil and Gas"
60,51-6051.00,"Sewers, Hand"
60,31-9099.01,Speech-Language Pathology Assistants
59,39-5011.00,Barbers
59,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
59,47-2041.00,Carpet Installers
59,11-9121.01,Clinical Research Coordinators
59,15-1151.00,Computer User Support Specialists
59,47-2031.01,Construction Carpenters
59,43-5021.00,Couriers and Messengers
59,17-2071.00,Electrical Engineers
59,31-9099.02,Endoscopy Technicians
59,13-2051.00,Financial Analysts
59,13-2061.00,Financial Examiners
59,45-1011.05,First-Line Supervisors of Logging Workers
59,47-4041.00,Hazardous Materials Removal Workers
59,31-1014.00,Nursing Assistants
59,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
59,11-9199.01,Regulatory Affairs Managers
59,21-1015.00,Rehabilitation Counselors
59,47-2181.00,Roofers
59,27-2012.05,Technical Directors/Managers
59,17-2199.02,Validation Engineers
58,49-3011.00,Aircraft Mechanics and Service Technicians
58,27-1011.00,Art Directors
58,27-2021.00,Athletes and Sports Competitors
58,11-3051.04,Biomass Power Plant Managers
58,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
58,19-1012.00,Food Scientists and Technologists
58,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
58,31-1011.00,Home Health Aides
58,17-2111.01,Industrial Safety and Health Engineers
58,17-2199.06,Microsystems Engineers
58,51-9083.00,Ophthalmic Laboratory Technicians
58,51-3023.00,Slaughterers and Meat Packers
58,29-1127.00,Speech-Language Pathologists
58,43-3021.01,Statement Clerks
57,25-9011.00,Audio-Visual and Multimedia Collections Specialists
57,15-1121.00,Computer Systems Analysts
57,53-3031.00,Driver/Sales Workers
57,25-1123.00,"English Language and Literature Teachers, Postsecondary"
57,39-9031.00,Fitness Trainers and Aerobics Instructors
57,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
57,45-4023.00,Log Graders and Scalers
57,25-1066.00,"Psychology Teachers, Postsecondary"
57,53-4031.00,Railroad Conductors and Yardmasters
57,47-5012.00,"Rotary Drill Operators, Oil and Gas"
57,27-2023.00,"Umpires, Referees, and Other Sports Officials"
57,49-9064.00,Watch Repairers
56,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
56,19-4011.01,Agricultural Technicians
56,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
56,51-7011.00,Cabinetmakers and Bench Carpenters
56,13-2041.00,Credit Analysts
56,11-9199.03,Investment Fund Managers
56,25-1082.00,"Library Science Teachers, Postsecondary"
56,53-4011.00,Locomotive Engineers
56,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
56,17-2121.01,Marine Engineers
56,25-1022.00,"Mathematical Science Teachers, Postsecondary"
56,19-2012.00,Physicists
56,47-2151.00,Pipelayers
56,25-2011.00,"Preschool Teachers, Except Special Education"
56,47-2031.02,Rough Carpenters
56,25-3021.00,Self-Enrichment Education Teachers
56,47-2211.00,Sheet Metal Workers
56,51-2041.00,Structural Metal Fabricators and Fitters
56,11-3131.00,Training and Development Managers
56,53-6061.00,"Transportation Attendants, Except Flight Attendants"
56,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
55,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
55,17-2199.01,Biochemical Engineers
55,25-2032.00,"Career/Technical Education Teachers, Secondary School"
55,35-2012.00,"Cooks, Institution and Cafeteria"
55,47-2043.00,Floor Sanders and Finishers
55,17-1022.01,Geodetic Surveyors
55,47-3013.00,Helpers--Electricians
55,47-2132.00,"Insulation Workers, Mechanical"
55,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
55,51-9123.00,"Painting, Coating, and Decorating Workers"
55,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
55,25-1113.00,"Social Work Teachers, Postsecondary"
55,27-3042.00,Technical Writers
54,19-3091.01,Anthropologists
54,13-2021.02,"Appraisers, Real Estate"
54,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
54,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
54,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
54,17-3012.02,Electrical Drafters
54,11-9013.02,Farm and Ranch Managers
54,13-1075.00,Labor Relations Specialists
54,11-3071.03,Logistics Managers
54,27-2042.02,"Musicians, Instrumental"
54,29-9012.00,Occupational Health and Safety Technicians
54,19-3022.00,Survey Researchers
54,11-3031.01,Treasurers and Controllers
53,23-1022.00,"Arbitrators, Mediators, and Conciliators"
