Importance,Level,Code,Occupation
71,68,11-9199.09,Wind Energy Operations Managers
71,66,13-1031.01,"Claims Examiners, Property and Casualty Insurance"
71,66,29-1069.05,Nuclear Medicine Physicians
71,64,13-2041.00,Credit Analysts
71,64,27-1014.00,Multimedia Artists and Animators
71,64,33-2011.01,Municipal Firefighters
71,63,31-1011.00,Home Health Aides
71,62,17-2171.00,Petroleum Engineers
71,60,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
71,60,29-2032.00,Diagnostic Medical Sonographers
71,58,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
70,72,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
70,71,15-2041.02,Clinical Data Managers
70,71,13-1199.03,Customs Brokers
70,71,25-1191.00,Graduate Teaching Assistants
70,70,17-2021.00,Agricultural Engineers
70,70,43-6012.00,Legal Secretaries
70,69,43-4011.00,Brokerage Clerks
70,69,41-1011.00,First-Line Supervisors of Retail Sales Workers
70,69,19-2012.00,Physicists
70,69,15-1199.01,Software Quality Assurance Engineers and Testers
70,68,13-1041.01,Environmental Compliance Inspectors
70,68,25-1082.00,"Library Science Teachers, Postsecondary"
70,68,15-1199.10,Search Marketing Strategists
70,68,39-5094.00,Skincare Specialists
70,67,47-4021.00,Elevator Installers and Repairers
70,66,29-2031.00,Cardiovascular Technologists and Technicians
70,66,51-8099.04,Hydroelectric Plant Technicians
70,66,45-4022.00,Logging Equipment Operators
70,66,33-3021.02,Police Identification and Records Officers
70,66,17-2199.02,Validation Engineers
70,65,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
70,64,29-2099.05,Ophthalmic Medical Technologists
70,62,23-2091.00,Court Reporters
70,61,13-1199.06,Online Merchants
70,60,39-3092.00,Costume Attendants
70,59,25-4031.00,Library Technicians
70,54,43-9081.00,Proofreaders and Copy Markers
70,53,53-6061.00,"Transportation Attendants, Except Flight Attendants"
69,75,39-5011.00,Barbers
69,73,25-1052.00,"Chemistry Teachers, Postsecondary"
69,72,19-2021.00,Atmospheric and Space Scientists
69,71,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
69,71,25-1065.00,"Political Science Teachers, Postsecondary"
69,71,15-1199.03,Web Administrators
69,70,53-1011.00,Aircraft Cargo Handling Supervisors
69,70,43-3021.02,"Billing, Cost, and Rate Clerks"
69,70,17-2031.00,Biomedical Engineers
69,68,41-2011.00,Cashiers
69,68,43-3061.00,Procurement Clerks
69,67,49-9051.00,Electrical Power-Line Installers and Repairers
69,67,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
69,67,33-3021.05,Immigration and Customs Inspectors
69,67,23-2011.00,Paralegals and Legal Assistants
69,66,15-1111.00,Computer and Information Research Scientists
69,66,19-1012.00,Food Scientists and Technologists
69,65,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
69,65,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
69,65,43-3051.00,Payroll and Timekeeping Clerks
69,65,33-3052.00,Transit and Railroad Police
69,64,17-1022.01,Geodetic Surveyors
69,63,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
69,62,17-2199.05,Mechatronics Engineers
69,61,39-9011.01,Nannies
69,59,43-2021.00,Telephone Operators
69,56,37-2012.00,Maids and Housekeeping Cleaners
68,73,25-1011.00,"Business Teachers, Postsecondary"
68,72,53-2031.00,Flight Attendants
68,71,15-2031.00,Operations Research Analysts
68,70,11-9199.03,Investment Fund Managers
68,70,25-1112.00,"Law Teachers, Postsecondary"
68,69,11-3051.01,Quality Control Systems Managers
68,68,25-4013.00,Museum Technicians and Conservators
68,68,47-2022.00,Stonemasons
68,67,27-3041.00,Editors
68,67,17-3023.03,Electrical Engineering Technicians
68,67,17-3029.04,Electronics Engineering Technologists
68,67,47-3013.00,Helpers--Electricians
68,66,17-2121.01,Marine Engineers
68,66,11-3071.01,Transportation Managers
68,65,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
68,65,19-4099.02,Precision Agriculture Technicians
68,64,17-3022.00,Civil Engineering Technicians
68,64,29-2011.00,Medical and Clinical Laboratory Technologists
68,64,17-3029.01,Non-Destructive Testing Specialists
68,63,31-9099.02,Endoscopy Technicians
68,63,43-3041.00,Gaming Cage Workers
68,63,49-2021.01,Radio Mechanics
68,63,15-1132.00,"Software Developers, Applications"
68,63,35-3031.00,Waiters and Waitresses
68,62,43-4041.02,Credit Checkers
68,62,43-5081.01,"Stock Clerks, Sales Floor"
68,59,31-1015.00,Orderlies
68,58,29-1071.01,Anesthesiologist Assistants
67,76,33-2011.02,Forest Firefighters
67,71,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
67,71,53-7064.00,"Packers and Packagers, Hand"
67,70,43-4071.00,File Clerks
67,68,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
