zip_code,latitude,longitude,population_density,employment_density,plant_size,employment,teamwork_share,customer_share,presence_share,communication_share,affected_share,face2face_share
01537,42.165501,-71.886002,124,61,8.6000004,441,21,22,22,36,56,20
01538,42.087601,-71.641197,,,12,60,,,,,,
01540,42.1129,-71.868698,225,77,10.1,1902,21,24,10,35,44,19
01541,42.450802,-71.876198,37,6,7.5999999,287,30,32,6,47,52,24
01542,42.199699,-71.906898,211,44,9.1000004,136,17,17,27,29,51,21
01543,42.376202,-71.948997,88,9,6.5,550,22,32,8,42,49,28
01545,42.284801,-71.720497,657,247,9.8000002,7311,22,31,11,42,53,24
01550,42.075001,-72.035301,318,99,8.1000004,2091,20,31,7,39,46,24
01560,42.175999,-71.692703,490,53,6.9000001,222,21,26,5,36,41,20
01561,42.443501,-71.686096,1034,1081,7.3000002,44,46,21,1,54,55,13
01562,42.244099,-71.990601,137,34,7.4000001,1233,22,33,10,45,53,27
01564,42.435398,-71.7752,98,33,8.6999998,1319,23,22,16,34,48,17
01566,42.112598,-72.084198,86,56,10.2,1883,23,33,5,45,49,27
01568,42.175598,-71.603203,135,20,5.8000002,748,24,23,10,36,45,19
01569,42.074402,-71.632896,180,55,10.1,2446,21,22,10,34,43,18
01570,42.052101,-71.848602,523,175,9.1999998,2898,22,37,8,45,53,28
01571,42.048901,-71.893204,211,44,6.9000001,983,23,22,11,36,45,20
01581,42.267899,-71.617599,343,511,19.4,17082,30,25,4,43,47,17
01583,42.358398,-71.783798,232,96,8,1604,24,37,7,47,53,27
01585,42.244099,-72.1511,69,13,8.1999998,378,18,30,10,36,45,25
01588,42.115299,-71.664398,437,183,8.3999996,1471,24,39,6,49,54,29
01590,42.126598,-71.755203,107,29,7.3000002,1004,25,20,14,36,49,15
01602,42.270302,-71.841698,1528,211,7.6999998,2037,24,39,5,47,52,28
01603,42.244999,-71.837997,1703,532,10.6,3908,19,29,7,37,44,23
01604,42.254101,-71.774597,2079,709,11.8,7564,20,32,10,40,49,25
01605,42.289398,-71.788803,1794,1085,12.1,5697,25,34,5,44,49,24
01606,42.311001,-71.795799,1242,723,15.5,6256,24,32,12,43,54,24
01607,42.230301,-71.7938,1019,481,8.8000002,1038,20,30,14,40,52,25
01608,42.262402,-71.800301,3354,12074,14.9,6678,29,28,2,44,46,17
01609,42.2826,-71.827698,2266,1100,11.1,4633,25,37,4,46,50,26
01610,42.249199,-71.810799,4349,1366,10.4,3223,18,32,11,39,49,26
01611,42.237301,-71.875,251,35,4.3000002,39,24,21,14,32,42,20
